"Name","Position","Birthdate","Birthplace"
"Devin Cooley","G","5/25/1997 (26)","Los Gatos, CA"
"Devon Levi","G","12/27/2001 (21)","Dollard-des-Ormeaux, CA"
"Ukko-Pekka Luukkonen","G","3/9/1999 (24)","Espoo, Finland"
"Dustin Tokarski","G","9/16/1989 (34)","Watson, SK"
"Mikael Backlund","C","3/17/1989 (34)","Vasteras, Sweden"
"Blake Coleman","C","11/28/1991 (31)","Plano, TX"
"Dillon Dube","C","7/20/1998 (25)","Golden, BC"
"Jonathan Huberdeau","C","6/4/1993 (30)","Saint-Jerome, PQ"
"Nazem Kadri","C","10/6/1990 (33)","London, ON"
"Elias Lindholm","C","12/2/1994 (28)","Boden, Sweden"
"Martin Pospisil","C","11/19/1999 (23)","Zvolen, Slovakia"
"Adam Ruzicka","C","5/11/1999 (24)","Bratislava, Slovakia"
"Yegor Sharangovich","C","6/6/1998 (25)","Minsk, Belarus"
"Connor Zary","C","9/25/2001 (22)","Saskatoon, SK"
"Walker Duehr","RW","11/23/1997 (25)","Sioux Falls, SD"
"A.J. Greer","LW","12/14/1996 (26)","Joliette, PQ"
"Andrew Mangiapane","LW","4/4/1996 (27)","Toronto, ON"
"Rasmus Andersson","D","10/27/1996 (27)","Malmo, Sweden"
"Nick DeSimone","D","11/21/1994 (28)","East Amherst, NY"
"Dennis Gilbert","D","10/30/1996 (27)","Buffalo, NY"
"Noah Hanifin","D","1/25/1997 (26)","Boston, MA"
"Ilya Solovyov","D","7/20/2000 (23)","Mogilev, Belarus"
"Christopher Tanev","D","12/20/1989 (33)","Toronto, ON"
"MacKenzie Weegar","D","1/7/1994 (29)","Ottawa, ON"
"Nikita Zadorov","D","4/16/1995 (28)","Moscow, Russia"
"Jacob Markstrom","G","1/31/1990 (33)","Gavle, Sweden"
"Dan Vladar","G","8/20/1997 (26)","Prague, Czech Republic"
"Dustin Wolf","G","4/16/2001 (22)","Tustin, CA"
"Callahan Burke","C","3/19/1997 (26)","Boxborough, MA"
"Jack Drury","C","2/3/2000 (23)","New York, NY"
"Seth Jarvis","C","2/1/2002 (21)","Winnipeg, MB"
"Jesperi Kotkaniemi","C","7/6/2000 (23)","Pori, Finland"
"Martin Necas","C","1/15/1999 (24)","Nove Mesto na Morave, Czech Republic"
"Jordan Staal","C","9/10/1988 (35)","Thunder Bay, ON"
"Ryan Suzuki","C","5/28/2001 (22)","London, ON"
"Sebastian Aho","LW","7/26/1997 (26)","Rauma, Finland"
"Michael Bunting","LW","9/17/1995 (28)","Scarborough, ON"
"Jesper Fast","RW","12/2/1991 (31)","Nassjo, Sweden"
"Brendan Lemieux","LW","3/15/1996 (27)","Denver, CO"
"Jordan Martinook","LW","7/25/1992 (31)","Brandon, MB"
"Stefan Noesen","RW","2/12/1993 (30)","Plano, TX"
"Andrei Svechnikov","RW","3/26/2000 (23)","Barnaul, Russia"
"Teuvo Teravainen","LW","9/11/1994 (29)","Helsinki, Finland"
"Brent Burns","D","3/9/1985 (38)","Barrie, ON"
"Jalen Chatfield","D","5/15/1996 (27)","Ypsilanti, MI"
"Dylan Coghlan","D","2/19/1998 (25)","Duncan, BC"
"Tony DeAngelo","D","10/24/1995 (28)","Sewell, NJ"
"Dmitry Orlov","D","7/23/1991 (32)","Novokuznetsk, USSR"
"Brett Pesce","D","11/15/1994 (28)","Tarrytown, NY"
"Brady Skjei","D","3/26/1994 (29)","Lakeville, MN"
"Jaccob Slavin","D","5/1/1994 (29)","Denver, CO"
"Pyotr Kochetkov","G","6/25/1999 (24)","Penza, Russia"
"Antti Raanta","G","5/12/1989 (34)","Rauma, Finland"
"Andreas Athanasiou","C","8/6/1994 (29)","Woodbridge, ON"
"Connor Bedard","C","7/17/2005 (18)","North Vancouver, CA"
"Jason Dickinson","C","7/4/1995 (28)","Georgetown, ON"
"Ryan Donato","C","4/9/1996 (27)","Boston, MA"
"Cole Guttman","C","4/6/1999 (24)","Northridge, CA"
"Tyler Johnson","C","7/29/1990 (33)","Spokane, WA"
"Philipp Kurashev","C","10/12/1999 (24)","Munsingen, Switzerland"
"MacKenzie Entwistle","RW","7/14/1999 (24)","Georgetown, ON"
"Nick Foligno","LW","10/31/1987 (36)","Buffalo, NY"
"Taylor Hall","LW","11/14/1991 (31)","Calgary, AB"
"Reese Johnson","RW","7/10/1998 (25)","Saskatoon, SK"
"Boris Katchouk","LW","6/18/1998 (25)","Waterloo, ON"
"Corey Perry","RW","5/16/1985 (38)","Peterborough, ON"
"Taylor Raddysh","RW","2/18/1998 (25)","Caledon, ON"
"Lukas Reichel","LW","5/17/2002 (21)","Nuremberg, Germany"
"Buddy Robinson","RW","9/30/1991 (32)","Bellmawr, NJ"
"Seth Jones","D","10/3/1994 (29)","Arlington, TX"
"Wyatt Kaiser","D","7/31/2002 (21)","Andover, MN"
"Kevin Korchinski","D","6/21/2004 (19)","Saskatoon, CA"
"Connor Murphy","D","3/26/1993 (30)","Dublin, OH"
"Isaak Phillips","D","9/28/2001 (22)","Barrie, ON"
"Jarred Tinordi","D","2/20/1992 (31)","Millersville, MD"
"Alex Vlasic","D","6/5/2001 (22)","Wilmette, IL"
"Nikita Zaitsev","D","10/29/1991 (32)","Moscow, USSR"
"Petr Mrazek","G","2/14/1992 (31)","Ostrava, Czechoslovakia"
"Arvid Soderblom","G","8/19/1999 (24)","Goteborg, Sweden"
"Andrew Cogliano","C","6/14/1987 (36)","Toronto, ON"
"Ross Colton","C","9/11/1996 (27)","Robbinsville, NJ"
"Ryan Johansen","C","7/31/1992 (31)","Vancouver, BC"
"Nathan MacKinnon","C","9/1/1995 (28)","Halifax, NS"
"Jonathan Drouin","LW","3/28/1995 (28)","Ste-Agathe, PQ"
"Artturi Lehkonen","LW","7/4/1995 (28)","Piikkio, Finland"
"Valeri Nichushkin","RW","3/4/1995 (28)","Chelyabinsk, Russia"
"Logan O'Connor","RW","8/14/1996 (27)","Missouri City, TX"
"Frederik Olofsson","LW","5/27/1996 (27)","Helsingborg, SE"
"Sampo Ranta","LW","5/31/2000 (23)","Naantali, Finland"
"Mikko Rantanen","RW","10/29/1996 (27)","Nousiainen, Finland"
"Tomas Tatar","LW","12/1/1990 (32)","Ilava, Czechoslovakia"
"Riley Tufte","LW","4/10/1998 (25)","Coon Rapids, MN"
"Miles Wood","LW","9/13/1995 (28)","Buffalo, NY"
"Jack Ahcan","D","5/18/1997 (26)","Savage, MN"
"Bowen Byram","D","6/13/2001 (22)","Cranbrook, BC"
"Samuel Girard","D","5/12/1998 (25)","Roberval, PQ"
"Jack Johnson","D","1/13/1987 (36)","Indianapolis, IN"
"Kurtis MacDermid","D","3/25/1994 (29)","Sauble Beach, ON"
"Cale Makar","D","10/30/1998 (25)","Calgary, AB"
"Josh Manson","D","10/7/1991 (32)","Hinsdale, IL"
"Corey Schueneman","D","9/2/1995 (28)","Milford, MI"
"Devon Toews","D","2/21/1994 (29)","Abbotsford, BC"
"Justus Annunen","G","3/11/2000 (23)","Kempele, Finland"
"Alexandar Georgiev","G","2/10/1996 (27)","Ruse, Bulgaria"
"Ivan Prosvetov","G","3/5/1999 (24)","Moscow, Russia"
"Emil Bemstrom","C","6/1/1999 (24)","Nykoping, Sweden"
"Josh Dunne","C","12/8/1998 (24)","O'Fallon, MO"
"Adam Fantilli","C","10/12/2004 (19)","Nobleton, CA"
"Boone Jenner","C","6/15/1993 (30)","Dorchester, ON"
"Sean Kuraly","C","1/20/1993 (30)","Dublin, OH"
"Mathieu Olivier","C","2/11/1997 (26)","Levis, PQ"
"Jack Roslovic","C","1/29/1997 (26)","Columbus, OH"
"Cole Sillinger","C","5/16/2003 (20)","Columbus, OH"
"Alexandre Texier","C","9/13/1999 (24)","Saint-Martin-d'Heres, France"
"Yegor Chinakhov","RW","2/1/2001 (22)","Omsk, Russia"
"Justin Danforth","RW","3/15/1993 (30)","Oshawa, ON"
"Trey Fix-Wolansky","RW","5/26/1999 (24)","Edmonton, AB"
"Johnny Gaudreau","LW","8/13/1993 (30)","Salem, NJ"
"Joona Luoto","LW","9/26/1997 (26)","Tampere, Finland"
"Kirill Marchenko","RW","7/21/2000 (23)","Barnaul, Russia"
"Mikael Pyyhtia","LW","12/17/2001 (21)","Turku, Finland"
"Dmitri Voronkov","LW","9/10/2000 (23)","—"
"Jake Bean","D","6/9/1998 (25)","Calgary, AB"
"Marcus Bjork","D","11/24/1997 (25)","Umea, SE"
"Adam Boqvist","D","8/15/2000 (23)","Falun, Sweden"
"Jake Christiansen","D","9/12/1999 (24)","West Vancouver, BC"
"Erik Gudbranson","D","1/7/1992 (31)","Ottawa, ON"
"David Jiricek","D","11/28/2003 (19)","Klatovy, CZ"
"Andrew Peeke","D","3/17/1998 (25)","Parkland, FL"
"Ivan Provorov","D","1/13/1997 (26)","Yaroslavl, Russia"
"Damon Severson","D","8/7/1994 (29)","Melville, SK"
"Zach Werenski","D","7/19/1997 (26)","Grosse Pointe, MI"
"Jet Greaves","G","3/30/2001 (22)","Cambridge, ON"
"Michael Hutchinson","G","3/2/1990 (33)","Barrie, ON"
"Spencer Martin","G","6/8/1995 (28)","Oakville, ON"
"Elvis Merzlikins","G","4/13/1994 (29)","Riga, Latvia"
"Mavrik Bourque","C","1/8/2002 (21)","Plessiville, QC, Canada"
"Ty Dellandrea","C","7/21/2000 (23)","Toronto, ON"
"Matt Duchene","C","1/16/1991 (32)","Haliburton, ON"
"Radek Faksa","C","1/9/1994 (29)","Vitkov, Czech Republic"
"Wyatt Johnston","C","5/14/2003 (20)","Toronto, ON"
"Joe Pavelski","C","7/11/1984 (39)","Plover, WI"
"Tyler Seguin","C","1/31/1992 (31)","Brampton, ON"
"Craig Smith","C","9/5/1989 (34)","Madison, WI"
"Sam Steel","C","2/3/1998 (25)","Ardrossan, AB"
"Jamie Benn","LW","7/18/1989 (34)","Victoria, BC"
"Evgenii Dadonov","RW","3/12/1989 (34)","Chelyabinsk, USSR"
"Roope Hintz","LW","11/17/1996 (26)","Tampere, Finland"
"Mason Marchment","LW","6/18/1995 (28)","Uxbridge, ON"
"Jason Robertson","LW","7/22/1999 (24)","Arcadia, CA"
"Gavin Bayreuther","D","5/12/1994 (29)","Canaan, NH"
"Jani Hakanpaa","D","3/31/1992 (31)","Kirkkonummi, Finland"
"Joel Hanley","D","6/8/1991 (32)","Keswick, ON"
"Thomas Harley","D","8/19/2001 (22)","Syracuse, NY"
"Miro Heiskanen","D","7/18/1999 (24)","Espoo, Finland"
"Esa Lindell","D","5/23/1994 (29)","Vantaa, Finland"
"Nils Lundkvist","D","7/27/2000 (23)","Pitea, Sweden"
"Derrick Pouliot","D","1/16/1994 (29)","Estevan, SK"
"Ryan Suter","D","1/21/1985 (38)","Madison, WI"
"Jake Oettinger","G","12/18/1998 (24)","Lakeville, MN"
"Scott Wedgewood","G","8/14/1992 (31)","Etobicoke, ON"
"Andrew Copp","C","7/8/1994 (29)","Ann Arbor, MI"
"Austin Czarnik","C","12/12/1992 (30)","Detroit, MI"
"Robby Fabbri","C","1/22/1996 (27)","Mississauga, ON"
"Klim Kostin","C","5/5/1999 (24)","Penza, Russia"
"Dylan Larkin","C","7/30/1996 (27)","Waterford, MI"
"Danny O'Regan","C","1/30/1994 (29)","Berlin, Germany"
"Michael Rasmussen","C","4/17/1999 (24)","Vancouver, BC"
"Nolan Stevens","C","7/22/1996 (27)","Brantford, ON"
"Joseph Veleno","C","1/13/2000 (23)","Montreal, PQ"
"Zach Aston-Reese","RW","8/10/1994 (29)","Staten Island, NY"
"Jonatan Berggren","RW","7/16/2000 (23)","Uppsala, Sweden"
"J.T. Compher","LW","4/8/1995 (28)","Northbrook, IL"
"Alex DeBrincat","RW","12/18/1997 (25)","Farmington Hills, MI"
"Christian Fischer","RW","4/15/1997 (26)","Chicago, IL"
"Tim Gettinger","LW","4/14/1998 (25)","Cleveland, OH"
"David Perron","LW","5/28/1988 (35)","Sherbrooke, PQ"
"Lucas Raymond","LW","3/28/2002 (21)","Goteborg, Sweden"
"Daniel Sprong","RW","3/17/1997 (26)","Amsterdam, Netherlands"
"Ben Chiarot","D","5/9/1991 (32)","Hamilton, ON"
"Shayne Gostisbehere","D","4/20/1993 (30)","Pembroke Pines, FL"
"Justin Holl","D","1/30/1992 (31)","Tonka Bay, MN"
"Olli Maatta","D","8/22/1994 (29)","Jyvaskyla, Finland"
"Jared McIsaac","D","3/27/2000 (23)","Truro, NS"
"Jeff Petry","D","12/9/1987 (35)","Ann Arbor, MI"
"Brogan Rafferty","D","5/28/1995 (28)","Dundee, IL"
"Moritz Seider","D","4/6/2001 (22)","Zell, Germany"
"Jake Walman","D","2/20/1996 (27)","Toronto, ON"
"Ville Husso","G","2/6/1995 (28)","Helsinki, Finland"
"Alex Lyon","G","12/9/1992 (30)","Baudette, MN"
"James Reimer","G","3/15/1988 (35)","Morweena, MB"
"Connor Brown","C","1/14/1994 (29)","Toronto, ON"
"Leon Draisaitl","C","10/27/1995 (28)","Cologne, Germany"
"Sam Gagner","C","8/10/1989 (34)","London, ON"
"Dylan Holloway","C","9/23/2001 (22)","Calgary, AB"
"Zach Hyman","C","6/9/1992 (31)","Toronto, ON"
"Mattias Janmark","C","12/8/1992 (30)","Danderyd, Sweden"
"Raphael Lavoie","C","9/25/2000 (23)","Montreal, PQ"
"Connor McDavid","C","1/13/1997 (26)","Richmond Hill, ON"
"Ryan McLeod","C","9/21/1999 (24)","Mississauga, ON"
"Ryan Nugent-Hopkins","C","4/12/1993 (30)","Burnaby, BC"
"Lane Pederson","C","8/4/1997 (26)","Saskatoon, SK"
"Derek Ryan","C","12/29/1986 (36)","Spokane, WA"
"Adam Erne","LW","4/20/1995 (28)","New Haven, CT"
"Warren Foegele","LW","4/1/1996 (27)","Markham, ON"
"James Hamblin","LW","4/27/1999 (24)","Edmonton, AB"
"Evander Kane","LW","8/2/1991 (32)","Vancouver, BC"
"Evan Bouchard","D","10/20/1999 (24)","Oakville, ON"
"Cody Ceci","D","12/21/1993 (29)","Ottawa, ON"
"Jason Demers","D","6/9/1988 (35)","Dorval, PQ"
"Vincent Desharnais","D","5/29/1996 (27)","Laval, PQ"
"Mattias Ekholm","D","5/24/1990 (33)","Borlange, Sweden"
"Brett Kulak","D","1/6/1994 (29)","Edmonton, AB"
"Darnell Nurse","D","2/4/1995 (28)","Hamilton, ON"
"Calvin Pickard","G","4/15/1992 (31)","Moncton, NB"
"Stuart Skinner","G","11/1/1998 (25)","Edmonton, AB"
"Rasmus Asplund","C","12/3/1997 (25)","Filipstad, Sweden"
"Aleksander Barkov","C","9/2/1995 (28)","Tampere, Finland"
"Nick Cousins","C","7/20/1993 (30)","Belleville, ON"
"Steven Lorentz","C","4/13/1996 (27)","Kitchener, ON"
"Anton Lundell","C","10/3/2001 (22)","Espoo, Finland"
"Eetu Luostarinen","C","9/2/1998 (25)","Siilinjarvi, Finland"
"Sam Reinhart","C","11/6/1995 (28)","West Vancouver, BC"
"Evan Rodrigues","C","7/28/1993 (30)","Toronto, ON"
"Kevin Stenlund","C","9/20/1996 (27)","Stockholm, Sweden"
"Carter Verhaeghe","C","8/14/1995 (28)","Toronto, ON"
"Will Lockwood","RW","6/20/1998 (25)","Royal Oak, MI"
"Ryan Lomberg","LW","12/9/1994 (28)","Richmond Hill, ON"
"Mackie Samoskevich","RW","11/15/2002 (20)","Newtown, CT"
"Matthew Tkachuk","LW","12/11/1997 (25)","Scottsdale, AZ"
"Uvis Balinskis","D","8/1/1996 (27)","Ventspils, Latvia"
"Lucas Carlsson","D","7/5/1997 (26)","Gavle, Sweden"
"Oliver Ekman-Larsson","D","7/17/1991 (32)","Karlskrona, Sweden"
"Gustav Forsling","D","6/12/1996 (27)","Linkoping, Sweden"
"Matt Kiersted","D","4/14/1998 (25)","Elk River, MN"
"Dmitry Kulikov","D","10/29/1990 (33)","Lipetsk, USSR"
"Josh Mahura","D","5/5/1998 (25)","St. Albert, AB"
"Niko Mikkola","D","4/27/1996 (27)","Kiiminki, Finland"
"Mike Reilly","D","7/13/1993 (30)","Chicago, IL"
"Sergei Bobrovsky","G","9/20/1988 (35)","Novokuznetsk, USSR"
"Spencer Knight","G","4/19/2001 (22)","Darien, CT"
"Anthony Stolarz","G","1/20/1994 (29)","Edison, NJ"
"Jaret Anderson-Dolan","C","9/12/1999 (24)","Calgary, AB"
"Quinton Byfield","C","8/19/2002 (21)","Newmarket, ON"
"Phillip Danault","C","2/24/1993 (30)","Victoriaville, PQ"
"Pierre-Luc Dubois","C","6/24/1998 (25)","Ste-Agathe-des-Monts, PQ"
"Anze Kopitar","C","8/24/1987 (36)","Jesenice, Yugoslavia"
"Trevor Lewis","C","1/8/1987 (36)","Salt Lake City, UT"
"Blake Lizotte","C","12/13/1997 (25)","Lindstrom, MN"
"Francesco Pinelli","C","4/11/2003 (20)","Hamilton, ON"
"Kevin Fiala","LW","7/22/1996 (27)","St. Gallen, Switzerland"
"Carl Grundstrom","RW","12/1/1997 (25)","Umea, Sweden"
"Arthur Kaliyev","RW","6/26/2001 (22)","Tashkent, Uzbekistan"
"Adrian Kempe","RW","9/13/1996 (27)","Kramfors, Sweden"
"Alex Laferriere","RW","10/28/2001 (22)","Chatham, NJ"
"Mikhail Maltsev","LW","3/12/1998 (25)","St. Petersburg, Russia"
"Trevor Moore","LW","3/31/1995 (28)","Thousand Oaks, CA"
"Mikey Anderson","D","5/25/1999 (24)","Fridley, MN"
"Tobias Bjornfot","D","4/6/2001 (22)","Upplands Vasby, Sweden"
"Drew Doughty","D","12/8/1989 (33)","London, ON"
"Andreas Englund","D","1/21/1996 (27)","Stockholm, Sweden"
"Vladislav Gavrikov","D","11/21/1995 (27)","Yaroslavl, Russia"
"Tobie Pacquette-Bisson","D","2/1/1997 (26)","Rosemere, CA"
"Matt Roy","D","3/1/1995 (28)","Detroit, MI"
"Jordan Spence","D","2/24/2001 (22)","Sydney, New South Wales"
"J-F Berube","G","7/13/1991 (32)","Repentigny, PQ"
"Pheonix Copley","G","1/18/1992 (31)","North Pole, AK"
"David Rittich","G","8/19/1992 (31)","Jihlava, Czechoslovakia"
"Cam Talbot","G","7/5/1987 (36)","Caledonia, ON"
"Connor Dewar","C","6/26/1999 (24)","Gilbert Plains, MB"
"Joel Eriksson Ek","C","1/29/1997 (26)","Karlstad, Sweden"
"Frederick Gaudreau","C","5/1/1993 (30)","Bromont, PQ"
"Damien Giroux","C","3/3/2000 (23)","Sudbury, ON"
"Vinni Lettieri","C","2/6/1995 (28)","Excelsior, MN"
"Jake Lucchini","C","5/10/1995 (28)","Trail, BC"
"Nic Petan","C","3/22/1995 (28)","Delta, BC"
"Marco Rossi","C","9/23/2001 (22)","Feldkirch, Austria"
"Samuel Walker","C","6/7/1999 (24)","Edina, MN"
"Matt Boldy","LW","4/5/2001 (22)","Millis, MA"
"Brandon Duhaime","RW","5/22/1997 (26)","Coral Springs, FL"
"Marcus Foligno","LW","8/10/1991 (32)","Buffalo, NY"
"Ryan Hartman","RW","9/20/1994 (29)","Hilton Head Island, SC"
"Marcus Johansson","LW","10/6/1990 (33)","Landskrona, Sweden"
"Kirill Kaprizov","LW","4/26/1997 (26)","Novokuznetsk, Russia"
"Pat Maroon","LW","4/23/1988 (35)","St. Louis, MO"
"Adam Raska","RW","9/25/2001 (22)","Frydek-Mistek, Czech Republic"
"Mats Zuccarello","RW","9/1/1987 (36)","Oslo, Norway"
"Zach Bogosian","D","7/15/1990 (33)","Massena, NY"
"Jonas Brodin","D","7/12/1993 (30)","Karlstad, Sweden"
"Brock Faber","D","8/22/2002 (21)","Maple Grove, MN"
"Dakota Mermis","D","1/5/1994 (29)","Alton, IL"
"Jon Merrill","D","2/3/1992 (31)","Oklahoma City, OK"
"Jacob Middleton","D","1/2/1996 (27)","Wainwright, AB"
"Jared Spurgeon","D","11/29/1989 (33)","Edmonton, AB"
"Marc-Andre Fleury","G","11/28/1984 (38)","Sorel, PQ"
"Filip Gustavsson","G","6/7/1998 (25)","Skelleftea, Sweden"
"Christian Dvorak","C","2/2/1996 (27)","Palos, IL"
"Jake Evans","C","6/2/1996 (27)","Toronto, ON"
"Sean Farrell","C","11/2/2001 (22)","Hopkinton, MA"
"Philippe Maillet","C","11/7/1992 (31)","Lachenaie, PQ"
"Sean Monahan","C","10/12/1994 (29)","Brampton, ON"
"Alex Newhook","C","1/28/2001 (22)","St. John's, NL"
"Nick Suzuki","C","8/10/1999 (24)","London, ON"
"Josh Anderson","RW","5/7/1994 (29)","Burlington, ON"
"Joel Armia","RW","5/31/1993 (30)","Pori, Finland"
"Cole Caufield","RW","1/2/2001 (22)","Stevens Point, WI"
