"Name","Position","Birthdate","Birthplace","BirthMonth","BirthQuarter"
"Zemgus Girgensons","LW","1/5/1994","Riga, Latvia","01",1
"Jordan Greenway","LW","2/16/1997","Canton, NY","02",1
"Kyle Okposo","RW","4/16/1988","St. Paul, MN","04",2
"Victor Olofsson","LW","7/18/1995","Ornskoldsvik, Sweden","07",3
"John-Jason Peterka","RW","1/14/2002","Munich, Germany","01",1
"Lukas Rousek","RW","4/20/1999","Ostrov nad Ohri, Czech Republic","04",2
"Jeff Skinner","LW","5/16/1992","Toronto, ON","05",2
"Alex Tuch","RW","5/10/1996","Syracuse, NY","05",2
"Jacob Bryson","D","11/18/1997","London, ON","11",4
"Kale Clague","D","6/5/1998","Regina, SK","06",2
"Connor Clifton","D","4/28/1995","Long Branch, NJ","04",2
"Rasmus Dahlin","D","4/13/2000","Lidkoping, Sweden","04",2
"Jeremy Davies","D","12/4/1996","St-Anne-de-Bellevue, PQ","12",4
"Erik Johnson","D","3/21/1988","Bloomington, MN","03",1
"Henri Jokiharju","D","6/17/1999","Oulu, Finland","06",2
"Owen Power","D","11/22/2002","Mississauga, CA","11",4
"Devin Cooley","G","5/25/1997","Los Gatos, CA","05",2
"Devon Levi","G","12/27/2001","Dollard-des-Ormeaux, CA","12",4
"Ukko-Pekka Luukkonen","G","3/9/1999","Espoo, Finland","03",1
"Dustin Tokarski","G","9/16/1989","Watson, SK","09",3
"Mikael Backlund","C","3/17/1989","Vasteras, Sweden","03",1
"Blake Coleman","C","11/28/1991","Plano, TX","11",4
"Dillon Dube","C","7/20/1998","Golden, BC","07",3
"Jonathan Huberdeau","C","6/4/1993","Saint-Jerome, PQ","06",2
"Nazem Kadri","C","10/6/1990","London, ON","10",4
"Elias Lindholm","C","12/2/1994","Boden, Sweden","12",4
"Martin Pospisil","C","11/19/1999","Zvolen, Slovakia","11",4
"Adam Ruzicka","C","5/11/1999","Bratislava, Slovakia","05",2
"Yegor Sharangovich","C","6/6/1998","Minsk, Belarus","06",2
"Connor Zary","C","9/25/2001","Saskatoon, SK","09",3
"Walker Duehr","RW","11/23/1997","Sioux Falls, SD","11",4
"A.J. Greer","LW","12/14/1996","Joliette, PQ","12",4
"Andrew Mangiapane","LW","4/4/1996","Toronto, ON","04",2
"Rasmus Andersson","D","10/27/1996","Malmo, Sweden","10",4
"Nick DeSimone","D","11/21/1994","East Amherst, NY","11",4
"Dennis Gilbert","D","10/30/1996","Buffalo, NY","10",4
"Noah Hanifin","D","1/25/1997","Boston, MA","01",1
"Ilya Solovyov","D","7/20/2000","Mogilev, Belarus","07",3
"Christopher Tanev","D","12/20/1989","Toronto, ON","12",4
"MacKenzie Weegar","D","1/7/1994","Ottawa, ON","01",1
"Nikita Zadorov","D","4/16/1995","Moscow, Russia","04",2
"Jacob Markstrom","G","1/31/1990","Gavle, Sweden","01",1
"Dan Vladar","G","8/20/1997","Prague, Czech Republic","08",3
"Dustin Wolf","G","4/16/2001","Tustin, CA","04",2
"Callahan Burke","C","3/19/1997","Boxborough, MA","03",1
"Jack Drury","C","2/3/2000","New York, NY","02",1
"Seth Jarvis","C","2/1/2002","Winnipeg, MB","02",1
"Jesperi Kotkaniemi","C","7/6/2000","Pori, Finland","07",3
"Martin Necas","C","1/15/1999","Nove Mesto na Morave, Czech Republic","01",1
"Jordan Staal","C","9/10/1988","Thunder Bay, ON","09",3
"Ryan Suzuki","C","5/28/2001","London, ON","05",2
"Sebastian Aho","LW","7/26/1997","Rauma, Finland","07",3
"Michael Bunting","LW","9/17/1995","Scarborough, ON","09",3
"Jesper Fast","RW","12/2/1991","Nassjo, Sweden","12",4
"Brendan Lemieux","LW","3/15/1996","Denver, CO","03",1
"Jordan Martinook","LW","7/25/1992","Brandon, MB","07",3
"Stefan Noesen","RW","2/12/1993","Plano, TX","02",1
"Andrei Svechnikov","RW","3/26/2000","Barnaul, Russia","03",1
"Teuvo Teravainen","LW","9/11/1994","Helsinki, Finland","09",3
"Brent Burns","D","3/9/1985","Barrie, ON","03",1
"Jalen Chatfield","D","5/15/1996","Ypsilanti, MI","05",2
"Dylan Coghlan","D","2/19/1998","Duncan, BC","02",1
"Tony DeAngelo","D","10/24/1995","Sewell, NJ","10",4
"Dmitry Orlov","D","7/23/1991","Novokuznetsk, USSR","07",3
"Brett Pesce","D","11/15/1994","Tarrytown, NY","11",4
"Brady Skjei","D","3/26/1994","Lakeville, MN","03",1
"Jaccob Slavin","D","5/1/1994","Denver, CO","05",2
"Pyotr Kochetkov","G","6/25/1999","Penza, Russia","06",2
"Antti Raanta","G","5/12/1989","Rauma, Finland","05",2
"Andreas Athanasiou","C","8/6/1994","Woodbridge, ON","08",3
"Connor Bedard","C","7/17/2005","North Vancouver, CA","07",3
"Jason Dickinson","C","7/4/1995","Georgetown, ON","07",3
"Ryan Donato","C","4/9/1996","Boston, MA","04",2
"Cole Guttman","C","4/6/1999","Northridge, CA","04",2
"Tyler Johnson","C","7/29/1990","Spokane, WA","07",3
"Philipp Kurashev","C","10/12/1999","Munsingen, Switzerland","10",4
"MacKenzie Entwistle","RW","7/14/1999","Georgetown, ON","07",3
"Nick Foligno","LW","10/31/1987","Buffalo, NY","10",4
"Taylor Hall","LW","11/14/1991","Calgary, AB","11",4
"Reese Johnson","RW","7/10/1998","Saskatoon, SK","07",3
"Boris Katchouk","LW","6/18/1998","Waterloo, ON","06",2
"Corey Perry","RW","5/16/1985","Peterborough, ON","05",2
"Taylor Raddysh","RW","2/18/1998","Caledon, ON","02",1
"Lukas Reichel","LW","5/17/2002","Nuremberg, Germany","05",2
"Buddy Robinson","RW","9/30/1991","Bellmawr, NJ","09",3
"Seth Jones","D","10/3/1994","Arlington, TX","10",4
"Wyatt Kaiser","D","7/31/2002","Andover, MN","07",3
"Kevin Korchinski","D","6/21/2004","Saskatoon, CA","06",2
"Connor Murphy","D","3/26/1993","Dublin, OH","03",1
"Isaak Phillips","D","9/28/2001","Barrie, ON","09",3
"Jarred Tinordi","D","2/20/1992","Millersville, MD","02",1
"Alex Vlasic","D","6/5/2001","Wilmette, IL","06",2
"Nikita Zaitsev","D","10/29/1991","Moscow, USSR","10",4
"Petr Mrazek","G","2/14/1992","Ostrava, Czechoslovakia","02",1
"Arvid Soderblom","G","8/19/1999","Goteborg, Sweden","08",3
"Andrew Cogliano","C","6/14/1987","Toronto, ON","06",2
"Ross Colton","C","9/11/1996","Robbinsville, NJ","09",3
"Ryan Johansen","C","7/31/1992","Vancouver, BC","07",3
"Nathan MacKinnon","C","9/1/1995","Halifax, NS","09",3
"Jonathan Drouin","LW","3/28/1995","Ste-Agathe, PQ","03",1
"Artturi Lehkonen","LW","7/4/1995","Piikkio, Finland","07",3
"Valeri Nichushkin","RW","3/4/1995","Chelyabinsk, Russia","03",1
"Logan O'Connor","RW","8/14/1996","Missouri City, TX","08",3
"Frederik Olofsson","LW","5/27/1996","Helsingborg, SE","05",2
"Sampo Ranta","LW","5/31/2000","Naantali, Finland","05",2
"Mikko Rantanen","RW","10/29/1996","Nousiainen, Finland","10",4
"Tomas Tatar","LW","12/1/1990","Ilava, Czechoslovakia","12",4
"Riley Tufte","LW","4/10/1998","Coon Rapids, MN","04",2
"Miles Wood","LW","9/13/1995","Buffalo, NY","09",3
"Jack Ahcan","D","5/18/1997","Savage, MN","05",2
"Bowen Byram","D","6/13/2001","Cranbrook, BC","06",2
"Samuel Girard","D","5/12/1998","Roberval, PQ","05",2
"Jack Johnson","D","1/13/1987","Indianapolis, IN","01",1
"Kurtis MacDermid","D","3/25/1994","Sauble Beach, ON","03",1
"Cale Makar","D","10/30/1998","Calgary, AB","10",4
"Josh Manson","D","10/7/1991","Hinsdale, IL","10",4
"Corey Schueneman","D","9/2/1995","Milford, MI","09",3
"Devon Toews","D","2/21/1994","Abbotsford, BC","02",1
"Justus Annunen","G","3/11/2000","Kempele, Finland","03",1
"Alexandar Georgiev","G","2/10/1996","Ruse, Bulgaria","02",1
"Ivan Prosvetov","G","3/5/1999","Moscow, Russia","03",1
"Emil Bemstrom","C","6/1/1999","Nykoping, Sweden","06",2
"Josh Dunne","C","12/8/1998","O'Fallon, MO","12",4
"Adam Fantilli","C","10/12/2004","Nobleton, CA","10",4
"Boone Jenner","C","6/15/1993","Dorchester, ON","06",2
"Sean Kuraly","C","1/20/1993","Dublin, OH","01",1
"Mathieu Olivier","C","2/11/1997","Levis, PQ","02",1
"Jack Roslovic","C","1/29/1997","Columbus, OH","01",1
"Cole Sillinger","C","5/16/2003","Columbus, OH","05",2
"Alexandre Texier","C","9/13/1999","Saint-Martin-d'Heres, France","09",3
"Yegor Chinakhov","RW","2/1/2001","Omsk, Russia","02",1
"Justin Danforth","RW","3/15/1993","Oshawa, ON","03",1
"Trey Fix-Wolansky","RW","5/26/1999","Edmonton, AB","05",2
"Johnny Gaudreau","LW","8/13/1993","Salem, NJ","08",3
"Joona Luoto","LW","9/26/1997","Tampere, Finland","09",3
"Kirill Marchenko","RW","7/21/2000","Barnaul, Russia","07",3
"Mikael Pyyhtia","LW","12/17/2001","Turku, Finland","12",4
"Dmitri Voronkov","LW","9/10/2000","—","09",3
"Jake Bean","D","6/9/1998","Calgary, AB","06",2
"Marcus Bjork","D","11/24/1997","Umea, SE","11",4
"Adam Boqvist","D","8/15/2000","Falun, Sweden","08",3
"Jake Christiansen","D","9/12/1999","West Vancouver, BC","09",3
"Erik Gudbranson","D","1/7/1992","Ottawa, ON","01",1
"David Jiricek","D","11/28/2003","Klatovy, CZ","11",4
"Andrew Peeke","D","3/17/1998","Parkland, FL","03",1
"Ivan Provorov","D","1/13/1997","Yaroslavl, Russia","01",1
"Damon Severson","D","8/7/1994","Melville, SK","08",3
"Zach Werenski","D","7/19/1997","Grosse Pointe, MI","07",3
"Jet Greaves","G","3/30/2001","Cambridge, ON","03",1
"Michael Hutchinson","G","3/2/1990","Barrie, ON","03",1
"Spencer Martin","G","6/8/1995","Oakville, ON","06",2
"Elvis Merzlikins","G","4/13/1994","Riga, Latvia","04",2
"Mavrik Bourque","C","1/8/2002","Plessiville, QC, Canada","01",1
"Ty Dellandrea","C","7/21/2000","Toronto, ON","07",3
"Matt Duchene","C","1/16/1991","Haliburton, ON","01",1
"Radek Faksa","C","1/9/1994","Vitkov, Czech Republic","01",1
"Wyatt Johnston","C","5/14/2003","Toronto, ON","05",2
"Joe Pavelski","C","7/11/1984","Plover, WI","07",3
"Tyler Seguin","C","1/31/1992","Brampton, ON","01",1
"Craig Smith","C","9/5/1989","Madison, WI","09",3
"Sam Steel","C","2/3/1998","Ardrossan, AB","02",1
"Jamie Benn","LW","7/18/1989","Victoria, BC","07",3
"Evgenii Dadonov","RW","3/12/1989","Chelyabinsk, USSR","03",1
"Roope Hintz","LW","11/17/1996","Tampere, Finland","11",4
"Mason Marchment","LW","6/18/1995","Uxbridge, ON","06",2
"Jason Robertson","LW","7/22/1999","Arcadia, CA","07",3
"Gavin Bayreuther","D","5/12/1994","Canaan, NH","05",2
"Jani Hakanpaa","D","3/31/1992","Kirkkonummi, Finland","03",1
"Joel Hanley","D","6/8/1991","Keswick, ON","06",2
"Thomas Harley","D","8/19/2001","Syracuse, NY","08",3
"Miro Heiskanen","D","7/18/1999","Espoo, Finland","07",3
"Esa Lindell","D","5/23/1994","Vantaa, Finland","05",2
"Nils Lundkvist","D","7/27/2000","Pitea, Sweden","07",3
"Derrick Pouliot","D","1/16/1994","Estevan, SK","01",1
"Ryan Suter","D","1/21/1985","Madison, WI","01",1
"Jake Oettinger","G","12/18/1998","Lakeville, MN","12",4
"Scott Wedgewood","G","8/14/1992","Etobicoke, ON","08",3
"Andrew Copp","C","7/8/1994","Ann Arbor, MI","07",3
"Austin Czarnik","C","12/12/1992","Detroit, MI","12",4
"Robby Fabbri","C","1/22/1996","Mississauga, ON","01",1
"Klim Kostin","C","5/5/1999","Penza, Russia","05",2
"Dylan Larkin","C","7/30/1996","Waterford, MI","07",3
"Danny O'Regan","C","1/30/1994","Berlin, Germany","01",1
"Michael Rasmussen","C","4/17/1999","Vancouver, BC","04",2
"Nolan Stevens","C","7/22/1996","Brantford, ON","07",3
"Joseph Veleno","C","1/13/2000","Montreal, PQ","01",1
"Zach Aston-Reese","RW","8/10/1994","Staten Island, NY","08",3
"Jonatan Berggren","RW","7/16/2000","Uppsala, Sweden","07",3
"J.T. Compher","LW","4/8/1995","Northbrook, IL","04",2
"Alex DeBrincat","RW","12/18/1997","Farmington Hills, MI","12",4
"Christian Fischer","RW","4/15/1997","Chicago, IL","04",2
"Tim Gettinger","LW","4/14/1998","Cleveland, OH","04",2
"David Perron","LW","5/28/1988","Sherbrooke, PQ","05",2
"Lucas Raymond","LW","3/28/2002","Goteborg, Sweden","03",1
"Daniel Sprong","RW","3/17/1997","Amsterdam, Netherlands","03",1
"Ben Chiarot","D","5/9/1991","Hamilton, ON","05",2
"Shayne Gostisbehere","D","4/20/1993","Pembroke Pines, FL","04",2
"Justin Holl","D","1/30/1992","Tonka Bay, MN","01",1
"Olli Maatta","D","8/22/1994","Jyvaskyla, Finland","08",3
"Jared McIsaac","D","3/27/2000","Truro, NS","03",1
"Jeff Petry","D","12/9/1987","Ann Arbor, MI","12",4
"Brogan Rafferty","D","5/28/1995","Dundee, IL","05",2
"Moritz Seider","D","4/6/2001","Zell, Germany","04",2
"Jake Walman","D","2/20/1996","Toronto, ON","02",1
"Ville Husso","G","2/6/1995","Helsinki, Finland","02",1
"Alex Lyon","G","12/9/1992","Baudette, MN","12",4
"James Reimer","G","3/15/1988","Morweena, MB","03",1
"Connor Brown","C","1/14/1994","Toronto, ON","01",1
"Leon Draisaitl","C","10/27/1995","Cologne, Germany","10",4
"Sam Gagner","C","8/10/1989","London, ON","08",3
"Dylan Holloway","C","9/23/2001","Calgary, AB","09",3
"Zach Hyman","C","6/9/1992","Toronto, ON","06",2
"Mattias Janmark","C","12/8/1992","Danderyd, Sweden","12",4
"Raphael Lavoie","C","9/25/2000","Montreal, PQ","09",3
"Connor McDavid","C","1/13/1997","Richmond Hill, ON","01",1
"Ryan McLeod","C","9/21/1999","Mississauga, ON","09",3
"Ryan Nugent-Hopkins","C","4/12/1993","Burnaby, BC","04",2
"Lane Pederson","C","8/4/1997","Saskatoon, SK","08",3
"Derek Ryan","C","12/29/1986","Spokane, WA","12",4
"Adam Erne","LW","4/20/1995","New Haven, CT","04",2
"Warren Foegele","LW","4/1/1996","Markham, ON","04",2
"James Hamblin","LW","4/27/1999","Edmonton, AB","04",2
"Evander Kane","LW","8/2/1991","Vancouver, BC","08",3
"Evan Bouchard","D","10/20/1999","Oakville, ON","10",4
"Cody Ceci","D","12/21/1993","Ottawa, ON","12",4
"Jason Demers","D","6/9/1988","Dorval, PQ","06",2
"Vincent Desharnais","D","5/29/1996","Laval, PQ","05",2
"Mattias Ekholm","D","5/24/1990","Borlange, Sweden","05",2
"Brett Kulak","D","1/6/1994","Edmonton, AB","01",1
"Darnell Nurse","D","2/4/1995","Hamilton, ON","02",1
"Calvin Pickard","G","4/15/1992","Moncton, NB","04",2
"Stuart Skinner","G","11/1/1998","Edmonton, AB","11",4
"Rasmus Asplund","C","12/3/1997","Filipstad, Sweden","12",4
"Aleksander Barkov","C","9/2/1995","Tampere, Finland","09",3
"Nick Cousins","C","7/20/1993","Belleville, ON","07",3
"Steven Lorentz","C","4/13/1996","Kitchener, ON","04",2
"Anton Lundell","C","10/3/2001","Espoo, Finland","10",4
"Eetu Luostarinen","C","9/2/1998","Siilinjarvi, Finland","09",3
"Sam Reinhart","C","11/6/1995","West Vancouver, BC","11",4
"Evan Rodrigues","C","7/28/1993","Toronto, ON","07",3
"Kevin Stenlund","C","9/20/1996","Stockholm, Sweden","09",3
"Carter Verhaeghe","C","8/14/1995","Toronto, ON","08",3
"Will Lockwood","RW","6/20/1998","Royal Oak, MI","06",2
"Ryan Lomberg","LW","12/9/1994","Richmond Hill, ON","12",4
"Mackie Samoskevich","RW","11/15/2002","Newtown, CT","11",4
"Matthew Tkachuk","LW","12/11/1997","Scottsdale, AZ","12",4
"Uvis Balinskis","D","8/1/1996","Ventspils, Latvia","08",3
"Lucas Carlsson","D","7/5/1997","Gavle, Sweden","07",3
"Oliver Ekman-Larsson","D","7/17/1991","Karlskrona, Sweden","07",3
"Gustav Forsling","D","6/12/1996","Linkoping, Sweden","06",2
"Matt Kiersted","D","4/14/1998","Elk River, MN","04",2
"Dmitry Kulikov","D","10/29/1990","Lipetsk, USSR","10",4
"Josh Mahura","D","5/5/1998","St. Albert, AB","05",2
"Niko Mikkola","D","4/27/1996","Kiiminki, Finland","04",2
"Mike Reilly","D","7/13/1993","Chicago, IL","07",3
"Sergei Bobrovsky","G","9/20/1988","Novokuznetsk, USSR","09",3
"Spencer Knight","G","4/19/2001","Darien, CT","04",2
"Anthony Stolarz","G","1/20/1994","Edison, NJ","01",1
"Jaret Anderson-Dolan","C","9/12/1999","Calgary, AB","09",3
"Quinton Byfield","C","8/19/2002","Newmarket, ON","08",3
"Phillip Danault","C","2/24/1993","Victoriaville, PQ","02",1
"Pierre-Luc Dubois","C","6/24/1998","Ste-Agathe-des-Monts, PQ","06",2
"Anze Kopitar","C","8/24/1987","Jesenice, Yugoslavia","08",3
"Trevor Lewis","C","1/8/1987","Salt Lake City, UT","01",1
"Blake Lizotte","C","12/13/1997","Lindstrom, MN","12",4
"Francesco Pinelli","C","4/11/2003","Hamilton, ON","04",2
"Kevin Fiala","LW","7/22/1996","St. Gallen, Switzerland","07",3
"Carl Grundstrom","RW","12/1/1997","Umea, Sweden","12",4
"Arthur Kaliyev","RW","6/26/2001","Tashkent, Uzbekistan","06",2
"Adrian Kempe","RW","9/13/1996","Kramfors, Sweden","09",3
"Alex Laferriere","RW","10/28/2001","Chatham, NJ","10",4
"Mikhail Maltsev","LW","3/12/1998","St. Petersburg, Russia","03",1
"Trevor Moore","LW","3/31/1995","Thousand Oaks, CA","03",1
"Mikey Anderson","D","5/25/1999","Fridley, MN","05",2
"Tobias Bjornfot","D","4/6/2001","Upplands Vasby, Sweden","04",2
"Drew Doughty","D","12/8/1989","London, ON","12",4
"Andreas Englund","D","1/21/1996","Stockholm, Sweden","01",1
"Vladislav Gavrikov","D","11/21/1995","Yaroslavl, Russia","11",4
"Tobie Pacquette-Bisson","D","2/1/1997","Rosemere, CA","02",1
"Matt Roy","D","3/1/1995","Detroit, MI","03",1
"Jordan Spence","D","2/24/2001","Sydney, New South Wales","02",1
"J-F Berube","G","7/13/1991","Repentigny, PQ","07",3
"Pheonix Copley","G","1/18/1992","North Pole, AK","01",1
"David Rittich","G","8/19/1992","Jihlava, Czechoslovakia","08",3
"Cam Talbot","G","7/5/1987","Caledonia, ON","07",3
"Connor Dewar","C","6/26/1999","Gilbert Plains, MB","06",2
"Joel Eriksson Ek","C","1/29/1997","Karlstad, Sweden","01",1
"Frederick Gaudreau","C","5/1/1993","Bromont, PQ","05",2
"Damien Giroux","C","3/3/2000","Sudbury, ON","03",1
"Vinni Lettieri","C","2/6/1995","Excelsior, MN","02",1
"Jake Lucchini","C","5/10/1995","Trail, BC","05",2
"Nic Petan","C","3/22/1995","Delta, BC","03",1
"Marco Rossi","C","9/23/2001","Feldkirch, Austria","09",3
"Samuel Walker","C","6/7/1999","Edina, MN","06",2
"Matt Boldy","LW","4/5/2001","Millis, MA","04",2
"Brandon Duhaime","RW","5/22/1997","Coral Springs, FL","05",2
"Marcus Foligno","LW","8/10/1991","Buffalo, NY","08",3
"Ryan Hartman","RW","9/20/1994","Hilton Head Island, SC","09",3
"Marcus Johansson","LW","10/6/1990","Landskrona, Sweden","10",4
"Kirill Kaprizov","LW","4/26/1997","Novokuznetsk, Russia","04",2
"Pat Maroon","LW","4/23/1988","St. Louis, MO","04",2
"Adam Raska","RW","9/25/2001","Frydek-Mistek, Czech Republic","09",3
"Mats Zuccarello","RW","9/1/1987","Oslo, Norway","09",3
"Zach Bogosian","D","7/15/1990","Massena, NY","07",3
"Jonas Brodin","D","7/12/1993","Karlstad, Sweden","07",3
"Brock Faber","D","8/22/2002","Maple Grove, MN","08",3
"Dakota Mermis","D","1/5/1994","Alton, IL","01",1
"Jon Merrill","D","2/3/1992","Oklahoma City, OK","02",1
"Jacob Middleton","D","1/2/1996","Wainwright, AB","01",1
"Jared Spurgeon","D","11/29/1989","Edmonton, AB","11",4
"Marc-Andre Fleury","G","11/28/1984","Sorel, PQ","11",4
"Filip Gustavsson","G","6/7/1998","Skelleftea, Sweden","06",2
"Christian Dvorak","C","2/2/1996","Palos, IL","02",1
"Jake Evans","C","6/2/1996","Toronto, ON","06",2
"Sean Farrell","C","11/2/2001","Hopkinton, MA","11",4
"Philippe Maillet","C","11/7/1992","Lachenaie, PQ","11",4
"Sean Monahan","C","10/12/1994","Brampton, ON","10",4
"Alex Newhook","C","1/28/2001","St. John's, NL","01",1
"Nick Suzuki","C","8/10/1999","London, ON","08",3
"Josh Anderson","RW","5/7/1994","Burlington, ON","05",2
"Joel Armia","RW","5/31/1993","Pori, Finland","05",2
"Cole Caufield","RW","1/2/2001","Stevens Point, WI","01",1
"Brendan Gallagher","RW","5/6/1992","Edmonton, AB","05",2
"Rafael Harvey-Pinard","LW","1/6/1999","Jonquiere, PQ","01",1
"Tanner Pearson","LW","8/10/1992","Kitchener, ON","08",3
"Michael Pezzetta","LW","3/13/1998","Toronto, ON","03",1
"Juraj Slafkovsky","LW","3/30/2004","Kosice, SK","03",1
"Joel Teasdale","LW","3/11/1999","Repentigny, PQ","03",1
"Jesse Ylonen","RW","10/3/1999","Scottsdale, AZ","10",4
"Justin Barron","D","11/15/2001","Halifax, NS","11",4
"Kaiden Guhle","D","1/18/2002","Sherwood Park, AB","01",1
"Jordan Harris","D","7/7/2000","Haverhill, MA","07",3
"Brady Keeper","D","6/5/1996","Cross Lake, MB","06",2
"Johnathan Kovacevic","D","7/12/1997","Niagara Falls, ON","07",3
